attack_type,target_system,outcome,timestamp,attacker_ip,target_ip,data_compromised_GB,attack_duration_min,security_tools_used,user_role,location,attack_severity,industry,response_time_min,mitigation_method
Brute Force,IoT Device,Success,2024-05-04 09:13:29.083544,122.69.189.142,89.89.39.218,90.05,171,Endpoint Detection,Employee,Brazil,7,Healthcare,134,Patch
Phishing,Web Server,Success,2024-06-02 15:15:28.083549,133.70.62.191,206.166.113.66,45.25,190,IDS,Admin,China,3,Retail,57,Patch
Zero-Day Exploit,Database,Success,2024-04-25 02:43:01.083554,158.228.25.83,165.157.114.63,56.4,72,VPN,Employee,France,6,Government,178,Reset Credentials
SQL Injection,Cloud Service,Success,2024-08-23 20:56:03.083559,101.139.218.66,152.87.137.220,41.83,73,IDS,Contractor,China,8,Energy,109,Block IP
Malware,Web Server,Success,2024-06-02 06:29:41.083566,255.195.21.142,226.237.88.98,61.73,107,Endpoint Detection,Admin,Brazil,4,Retail,86,Containment
Zero-Day Exploit,User Account,Failure,2024-08-21 07:40:32.083571,88.105.113.159,203.222.214.62,2.1,223,VPN,Contractor,UK,2,Healthcare,58,Block IP
Ransomware,IoT Device,Failure,2023-12-25 10:05:12.083577,243.164.167.129,221.123.17.29,41.03,235,IDS,External User,Australia,4,Retail,112,Containment
Brute Force,API,Failure,2024-08-24 04:21:07.083582,51.209.190.71,119.104.17.145,36.66,162,WAF,Contractor,Russia,2,Manufacturing,159,Patch
DDoS,Database,Success,2024-08-19 06:58:32.083588,198.55.56.228,142.151.23.3,44.45,194,MFA,Employee,UK,5,Healthcare,75,Containment
Cross-Site Scripting,Email Server,Failure,2023-12-06 08:05:43.083593,200.246.155.231,214.49.49.50,0.01,152,MFA,External User,China,1,Finance,153,Containment
Zero-Day Exploit,Web Server,Success,2024-04-29 17:12:48.083605,224.56.41.100,243.66.85.72,90.84,6,Antivirus,Contractor,USA,9,Retail,124,Reset Credentials
Zero-Day Exploit,IoT Device,Success,2024-03-06 23:38:55.083610,153.210.245.140,204.32.162.50,75.64,218,IDS,External User,China,4,Education,166,Quarantine
Phishing,User Account,Failure,2024-01-09 08:30:45.083618,223.132.51.198,105.30.226.197,39.52,163,MFA,External User,India,10,Education,161,Patch
Ransomware,Email Server,Failure,2024-01-19 22:10:27.083623,146.44.125.193,53.91.81.175,76.05,130,MFA,Contractor,Russia,5,Retail,17,Reset Credentials
SQL Injection,Cloud Service,Success,2024-06-28 18:36:50.083629,61.12.23.117,247.116.119.248,10.74,97,Endpoint Detection,Admin,India,8,Education,180,Reset Credentials
Phishing,API,Success,2024-05-10 22:28:23.083635,42.70.62.169,19.4.161.48,25.75,38,Endpoint Detection,External User,UK,7,Healthcare,74,Patch
Zero-Day Exploit,IoT Device,Failure,2024-08-12 06:24:00.083639,241.0.53.87,39.154.211.190,67.57,93,Endpoint Detection,External User,Germany,7,Finance,35,Containment
Brute Force,Email Server,Failure,2024-07-27 05:28:50.083642,189.138.110.181,221.32.121.166,55.73,13,Firewall,Employee,USA,10,Government,180,Block IP
Zero-Day Exploit,Email Server,Success,2024-04-06 15:40:50.083645,238.234.29.153,101.122.237.28,31.12,243,VPN,Employee,USA,4,Manufacturing,153,Containment
Phishing,Email Server,Success,2024-01-07 20:24:38.083648,105.142.120.74,161.27.237.233,19.33,244,MFA,Admin,France,5,Technology,26,Containment
Zero-Day Exploit,API,Failure,2024-09-03 07:30:07.083652,204.76.204.186,186.208.66.58,65.34,57,WAF,Employee,Germany,3,Government,155,Block IP
Brute Force,Network Switch,Success,2023-11-14 10:56:00.083655,244.238.211.154,129.254.166.219,18.21,97,Firewall,Contractor,China,10,Technology,98,Patch
SQL Injection,User Account,Success,2023-11-24 10:30:41.083658,60.226.44.75,155.165.38.217,12.44,251,Endpoint Detection,Employee,China,9,Manufacturing,155,Quarantine
Ransomware,User Account,Failure,2024-06-15 18:57:49.083661,219.80.53.58,43.198.100.76,23.16,165,Endpoint Detection,Employee,Brazil,8,Education,44,Quarantine
Zero-Day Exploit,Network Switch,Failure,2024-05-09 12:54:59.083665,149.247.29.234,244.32.189.236,93.88,80,SIEM,Employee,UK,4,Technology,12,Patch
Brute Force,Database,Failure,2024-01-30 20:31:45.083668,107.29.142.22,95.166.7.11,6.05,2,WAF,Contractor,USA,7,Finance,156,Patch
Brute Force,Database,Failure,2024-03-21 07:37:00.083672,176.110.165.231,125.238.106.180,60.09,183,Antivirus,Employee,Russia,2,Education,4,Block IP
Brute Force,Email Server,Success,2024-03-27 15:13:53.083675,40.109.156.28,102.65.124.225,40.49,221,MFA,External User,Canada,4,Technology,177,Block IP
SQL Injection,IoT Device,Success,2023-10-12 18:52:23.083679,246.159.161.195,78.229.245.238,32.14,269,VPN,Employee,France,4,Technology,155,Containment
Ransomware,Web Server,Failure,2024-06-19 19:54:59.083682,6.117.85.98,117.168.255.59,60.58,185,Firewall,Employee,Germany,10,Energy,64,Patch
Malware,Cloud Service,Success,2024-04-27 06:54:18.083685,220.115.174.143,230.21.188.170,29.47,89,Antivirus,Admin,Canada,2,Healthcare,54,Patch
Brute Force,Email Server,Failure,2023-09-12 10:41:44.083688,62.232.52.236,56.28.139.145,52.08,277,MFA,Admin,Germany,10,Retail,30,Reset Credentials
Malware,Network Switch,Success,2023-12-02 21:12:04.083691,131.193.236.33,157.110.168.67,39.1,94,WAF,Admin,Russia,5,Manufacturing,27,Block IP
DDoS,Web Server,Failure,2024-02-23 01:00:02.083694,231.216.195.194,118.41.73.232,1.76,299,Firewall,Admin,Australia,9,Finance,158,Reset Credentials
Brute Force,User Account,Success,2023-11-19 15:33:44.083697,146.250.186.216,88.153.87.211,9.55,186,Antivirus,Admin,UK,9,Finance,50,Reset Credentials
Cross-Site Scripting,Cloud Service,Success,2023-11-28 13:42:36.083701,175.212.197.254,86.119.22.33,21.5,39,VPN,Employee,France,4,Retail,88,Reset Credentials
Cross-Site Scripting,IoT Device,Failure,2023-12-05 19:36:05.083704,89.146.242.61,53.117.225.80,50.03,2,Antivirus,Admin,USA,6,Education,61,Patch
Malware,Web Server,Success,2024-04-12 04:04:20.083709,89.49.104.41,85.230.159.69,58.72,66,Antivirus,Employee,Australia,9,Education,55,Quarantine
SQL Injection,Network Switch,Failure,2024-07-09 14:23:32.083714,163.7.60.85,211.47.56.244,49.75,150,Antivirus,Employee,UK,10,Manufacturing,61,Reset Credentials
Ransomware,User Account,Success,2024-08-07 11:02:39.083720,252.21.178.172,168.176.228.119,53.08,44,SIEM,External User,China,9,Finance,149,Reset Credentials
Malware,IoT Device,Failure,2024-04-24 01:33:20.083726,122.207.44.193,90.143.249.69,42.03,298,IDS,Contractor,Brazil,1,Energy,94,Quarantine
Malware,Email Server,Failure,2023-12-20 05:23:01.083734,170.177.8.55,207.58.210.79,46.66,157,IDS,Employee,USA,9,Manufacturing,115,Containment
Zero-Day Exploit,Email Server,Success,2023-10-31 09:08:24.083739,23.36.19.242,56.99.140.191,15.25,153,Endpoint Detection,Employee,Australia,4,Retail,60,Block IP
Zero-Day Exploit,API,Failure,2024-01-26 23:37:48.083745,164.248.30.118,80.74.74.39,50.67,48,VPN,Employee,Brazil,4,Education,105,Block IP
Malware,Database,Success,2023-09-23 17:07:58.083751,248.209.59.41,137.93.87.131,76.48,144,Antivirus,Employee,China,8,Retail,122,Block IP
Brute Force,Database,Failure,2024-06-30 15:21:29.083756,121.73.180.227,158.16.121.135,29.7,82,SIEM,Admin,China,8,Government,5,Reset Credentials
DDoS,IoT Device,Failure,2024-02-04 14:31:36.083762,165.163.132.77,63.145.12.200,20.17,173,Antivirus,Contractor,Germany,8,Finance,25,Quarantine
Brute Force,IoT Device,Success,2024-07-23 05:25:50.083767,230.162.2.40,251.154.197.50,15.84,72,Firewall,External User,USA,9,Technology,70,Patch
Ransomware,Database,Failure,2024-06-15 02:09:20.083772,48.39.98.3,78.182.22.9,97.23,157,SIEM,Admin,Germany,6,Healthcare,16,Block IP
Malware,Email Server,Failure,2024-04-03 22:28:23.083778,208.29.63.189,237.107.104.253,45.73,163,Firewall,Contractor,Brazil,6,Healthcare,74,Quarantine
Zero-Day Exploit,User Account,Success,2024-03-28 17:29:41.083784,43.1.173.172,130.68.157.199,56.8,166,SIEM,Contractor,India,1,Government,124,Patch
Phishing,Network Switch,Success,2024-02-19 09:43:14.083790,78.189.43.158,213.229.50.204,48.71,74,Firewall,Employee,France,1,Energy,86,Reset Credentials
Zero-Day Exploit,User Account,Failure,2024-03-21 09:11:42.083796,72.153.217.69,157.183.57.65,46.73,53,WAF,External User,China,1,Manufacturing,33,Patch
Phishing,User Account,Failure,2024-05-23 21:14:44.083906,194.223.59.244,10.11.84.227,24.82,288,MFA,Contractor,USA,9,Finance,131,Quarantine
DDoS,Database,Failure,2024-04-28 14:54:32.083919,176.78.238.211,183.200.40.187,21.87,227,IDS,Admin,Russia,4,Finance,29,Containment
Cross-Site Scripting,Email Server,Failure,2024-07-19 16:45:23.083925,185.183.46.241,37.26.38.38,41.68,126,VPN,Employee,France,1,Healthcare,17,Patch
Cross-Site Scripting,Email Server,Success,2023-11-23 18:04:58.083931,187.29.224.212,63.93.56.117,71.96,30,WAF,Admin,China,4,Finance,142,Reset Credentials
Zero-Day Exploit,Cloud Service,Success,2024-08-03 16:34:12.083936,219.74.78.172,124.129.70.233,97.25,97,SIEM,Admin,India,2,Technology,12,Reset Credentials
DDoS,Email Server,Failure,2024-04-24 18:35:38.083941,22.149.252.166,247.166.238.244,85.6,149,Antivirus,Contractor,Russia,7,Retail,16,Block IP
Brute Force,IoT Device,Success,2024-08-21 10:46:34.083946,124.242.101.78,111.46.27.201,38.19,214,WAF,External User,Brazil,3,Government,87,Patch
Cross-Site Scripting,Database,Success,2024-07-11 21:49:18.083951,44.183.48.54,106.65.70.153,35.56,295,Firewall,External User,USA,6,Retail,118,Patch
Ransomware,User Account,Failure,2023-11-12 02:55:31.083956,113.56.104.33,201.128.254.112,40.73,136,SIEM,External User,Australia,7,Government,178,Patch
Zero-Day Exploit,Database,Success,2024-08-07 04:42:21.083962,204.47.37.17,121.224.11.170,81.55,196,VPN,Employee,Australia,3,Technology,176,Quarantine
Brute Force,API,Failure,2024-01-26 22:18:50.083968,59.84.78.233,74.34.164.70,10.27,34,MFA,Employee,India,9,Education,65,Containment
Cross-Site Scripting,Email Server,Failure,2024-07-21 12:43:55.083976,57.80.252.103,104.150.46.216,11.29,41,Antivirus,Employee,Brazil,2,Technology,84,Quarantine
Ransomware,API,Failure,2024-04-02 11:00:01.083981,87.124.200.251,143.179.16.177,60.09,57,Antivirus,Contractor,Russia,10,Technology,85,Containment
Malware,User Account,Failure,2024-03-06 18:52:42.083986,96.71.29.217,14.173.182.244,1.8,96,VPN,Employee,Germany,7,Retail,92,Block IP
SQL Injection,IoT Device,Success,2023-12-13 18:09:04.083992,216.63.136.1,41.110.52.205,56.91,27,IDS,Contractor,Australia,10,Healthcare,153,Containment
Zero-Day Exploit,IoT Device,Success,2023-09-15 14:33:39.083998,39.199.67.57,173.18.229.228,83.12,126,WAF,Contractor,France,5,Manufacturing,178,Containment
Ransomware,Cloud Service,Success,2024-03-25 02:24:15.084003,72.14.84.100,236.208.124.129,86.29,234,VPN,Contractor,UK,8,Education,110,Patch
DDoS,IoT Device,Failure,2023-09-23 04:26:21.084009,182.75.134.239,225.135.136.233,20.76,223,Firewall,Contractor,UK,4,Healthcare,100,Containment
Brute Force,User Account,Success,2023-12-17 20:54:34.084014,188.159.36.218,80.70.29.239,11.89,136,Endpoint Detection,Admin,Brazil,7,Retail,123,Quarantine
Brute Force,API,Success,2024-08-28 09:15:33.084019,220.200.50.216,62.113.59.44,98.74,92,Endpoint Detection,Admin,China,4,Education,10,Quarantine
Malware,User Account,Failure,2023-12-10 14:38:39.084024,118.176.168.141,127.47.201.232,69.75,235,Firewall,Employee,Russia,2,Technology,51,Containment
SQL Injection,Network Switch,Failure,2024-01-03 12:21:49.084030,102.162.65.177,167.207.134.122,4.15,229,VPN,External User,Australia,4,Retail,135,Patch
Malware,Cloud Service,Failure,2023-12-20 18:15:56.084035,189.74.246.240,28.36.228.172,13.09,36,Endpoint Detection,External User,France,2,Retail,108,Quarantine
Malware,Web Server,Success,2024-01-08 17:47:58.084042,180.9.205.3,5.34.58.184,90.62,168,VPN,Admin,France,4,Energy,168,Quarantine
Brute Force,Database,Success,2024-07-17 06:20:36.084047,187.97.208.208,69.56.196.41,97.01,9,IDS,Employee,Russia,3,Healthcare,96,Block IP
Cross-Site Scripting,Cloud Service,Failure,2023-11-25 05:16:57.084052,217.85.41.167,44.47.166.114,80.86,198,VPN,Admin,Germany,6,Finance,52,Quarantine
Cross-Site Scripting,Network Switch,Success,2024-02-14 02:08:01.084058,181.230.129.21,156.180.95.76,24.1,227,WAF,Employee,China,8,Energy,115,Containment
Malware,Cloud Service,Failure,2024-04-18 05:56:10.084065,240.164.208.196,4.141.194.72,75.23,31,Antivirus,Employee,France,8,Government,123,Containment
Brute Force,Email Server,Success,2024-03-07 20:22:06.084071,110.52.137.202,49.142.7.252,64.36,19,Antivirus,Contractor,France,1,Education,136,Reset Credentials
Zero-Day Exploit,Network Switch,Failure,2023-10-23 07:41:18.084077,36.67.101.53,163.116.212.230,97.59,163,Firewall,Employee,France,10,Manufacturing,54,Reset Credentials
SQL Injection,Web Server,Success,2024-02-10 15:27:18.084083,190.157.254.236,154.51.63.199,85.56,195,IDS,Admin,Russia,4,Healthcare,153,Containment
DDoS,Web Server,Success,2024-07-09 15:10:06.084088,157.12.53.158,167.43.149.6,64.27,69,WAF,Contractor,Russia,10,Technology,173,Containment
Ransomware,Email Server,Failure,2023-11-17 01:49:33.084093,253.186.30.51,163.23.127.129,52.8,253,Antivirus,External User,Russia,1,Government,78,Containment
Cross-Site Scripting,Database,Success,2024-03-12 19:06:43.084099,63.121.176.193,54.199.182.76,97.23,167,WAF,Contractor,Canada,8,Energy,147,Quarantine
Phishing,User Account,Failure,2024-07-13 14:25:50.084105,104.70.28.160,104.189.30.46,57.29,2,Firewall,Employee,France,2,Government,145,Reset Credentials
Zero-Day Exploit,IoT Device,Failure,2023-10-22 16:14:40.084109,51.242.9.182,254.32.168.216,55.37,221,MFA,Employee,USA,4,Technology,54,Block IP
Zero-Day Exploit,Web Server,Failure,2024-05-23 04:53:50.084112,165.178.163.170,53.202.206.146,21.71,156,Endpoint Detection,External User,Brazil,4,Healthcare,172,Patch
Brute Force,Database,Failure,2023-12-27 02:29:24.084115,52.56.246.250,229.60.130.108,73.51,274,WAF,Contractor,Australia,2,Healthcare,93,Patch
Zero-Day Exploit,API,Failure,2024-03-25 14:50:38.084119,129.107.10.163,232.152.94.115,88.43,95,Firewall,External User,India,1,Government,136,Quarantine
SQL Injection,Network Switch,Success,2023-12-30 07:46:09.084124,10.106.209.157,233.83.232.169,74.85,60,VPN,Admin,Australia,4,Manufacturing,24,Containment
Brute Force,Cloud Service,Success,2024-06-16 12:23:26.084129,94.76.88.221,103.212.106.226,47.76,157,WAF,Employee,USA,9,Government,37,Quarantine
DDoS,Web Server,Failure,2024-01-06 22:15:12.084134,90.149.112.195,35.64.106.235,39.79,175,WAF,Employee,India,2,Technology,162,Patch
Malware,Network Switch,Failure,2024-06-03 02:26:56.084140,159.15.161.150,103.223.78.225,35.1,28,Endpoint Detection,Employee,Brazil,3,Retail,13,Block IP
Brute Force,Network Switch,Failure,2023-10-22 21:55:14.084146,110.174.162.205,118.8.164.216,92.41,79,SIEM,Admin,Australia,1,Technology,100,Block IP
SQL Injection,Database,Failure,2024-02-29 10:48:03.084152,76.145.98.147,47.18.155.107,65.78,297,SIEM,External User,UK,9,Healthcare,85,Block IP
Zero-Day Exploit,Network Switch,Success,2024-01-29 12:10:09.084157,204.184.87.91,11.139.148.42,69.17,36,Antivirus,Employee,USA,6,Government,82,Block IP
DDoS,API,Success,2024-02-25 00:05:58.084162,33.175.23.73,40.47.170.35,71.93,124,Endpoint Detection,Employee,Russia,1,Manufacturing,135,Quarantine
Cross-Site Scripting,Database,Success,2023-11-29 22:52:32.084168,155.67.182.198,218.252.20.76,18.14,67,Firewall,Employee,UK,5,Government,69,Block IP
Ransomware,IoT Device,Failure,2023-12-18 01:38:28.084173,44.115.191.121,224.116.6.179,53.52,280,Firewall,External User,Russia,4,Healthcare,84,Containment
Ransomware,Web Server,Failure,2024-06-05 22:41:51.084176,172.201.243.180,65.155.196.153,21.92,227,MFA,External User,Australia,8,Technology,118,Patch
DDoS,IoT Device,Failure,2024-03-10 04:42:17.084179,58.239.58.185,226.119.162.141,31.01,240,IDS,Contractor,UK,9,Government,141,Block IP
Phishing,Database,Failure,2024-07-18 20:03:39.084182,195.241.205.208,84.13.185.92,6.78,83,Endpoint Detection,Admin,India,5,Government,41,Patch
Cross-Site Scripting,Database,Success,2024-07-15 23:57:32.084185,102.218.3.198,152.182.92.29,64.46,251,IDS,Employee,USA,8,Healthcare,143,Block IP
Brute Force,Email Server,Failure,2023-09-16 20:00:25.084188,89.210.144.135,148.106.196.135,59.35,33,SIEM,Contractor,India,8,Manufacturing,64,Patch
Brute Force,User Account,Failure,2024-08-04 07:10:00.084191,127.91.153.208,13.36.238.135,25.09,170,Firewall,Employee,Australia,1,Retail,21,Containment
Cross-Site Scripting,Network Switch,Failure,2024-06-07 04:12:10.084194,24.133.103.54,59.212.1.60,33.6,186,SIEM,Employee,Canada,3,Manufacturing,134,Block IP
Phishing,Cloud Service,Failure,2023-09-24 08:36:16.084197,210.29.156.3,25.205.132.249,15.18,147,Firewall,Employee,USA,1,Education,161,Reset Credentials
Zero-Day Exploit,Web Server,Failure,2024-07-06 07:48:21.084200,221.66.59.213,254.80.143.186,99.91,156,MFA,External User,Australia,7,Education,127,Quarantine
Cross-Site Scripting,Web Server,Success,2024-07-15 16:16:17.084203,190.122.22.197,82.50.113.90,23.71,57,Antivirus,Employee,USA,6,Healthcare,151,Reset Credentials
SQL Injection,API,Failure,2024-07-23 04:23:02.084206,157.61.185.4,189.39.151.47,72.43,291,Firewall,Employee,Canada,7,Healthcare,3,Patch
Malware,IoT Device,Failure,2023-09-07 21:13:27.084209,220.169.96.192,132.178.93.241,80.9,131,SIEM,Admin,India,7,Manufacturing,177,Containment
Phishing,Network Switch,Success,2024-01-05 00:00:40.084212,44.109.50.233,83.114.153.217,41.02,241,Antivirus,Contractor,China,9,Finance,59,Patch
Cross-Site Scripting,User Account,Success,2024-01-16 10:46:54.084215,25.167.86.166,39.197.155.77,99.98,117,Firewall,External User,USA,3,Energy,146,Containment
Brute Force,Network Switch,Success,2024-06-05 15:10:49.084220,246.176.111.32,190.254.254.74,86.19,77,Firewall,Employee,France,8,Technology,26,Reset Credentials
Malware,Network Switch,Failure,2023-09-12 08:04:33.084223,90.110.185.9,1.119.92.162,65.77,70,SIEM,External User,Germany,5,Energy,25,Patch
SQL Injection,Web Server,Failure,2024-06-29 15:02:12.084226,188.110.189.190,165.100.206.193,44.59,208,Endpoint Detection,Admin,Australia,8,Retail,164,Containment
SQL Injection,Network Switch,Failure,2024-02-26 17:37:16.084229,238.19.16.57,67.7.8.121,64.01,285,VPN,Contractor,France,1,Finance,138,Quarantine
Brute Force,Cloud Service,Failure,2024-06-22 16:43:47.084232,3.168.140.157,42.50.70.218,19.03,196,Endpoint Detection,Contractor,UK,3,Energy,153,Containment
Cross-Site Scripting,User Account,Failure,2024-07-02 15:16:59.084235,175.234.115.181,53.40.155.183,11.07,79,VPN,External User,Australia,5,Education,6,Patch
Zero-Day Exploit,User Account,Failure,2024-07-27 10:56:05.084238,34.55.124.172,121.17.133.135,70.71,244,Antivirus,Admin,France,7,Energy,40,Containment
DDoS,Email Server,Failure,2023-11-29 02:23:45.084241,192.100.231.221,108.190.33.37,68.96,211,Firewall,Contractor,Australia,3,Manufacturing,40,Containment
Brute Force,Network Switch,Failure,2024-07-26 14:27:28.084244,58.200.233.143,113.96.182.119,91.96,48,VPN,Employee,Germany,8,Government,91,Quarantine
DDoS,User Account,Success,2024-05-29 15:28:08.084248,163.246.204.214,167.252.151.62,42.4,114,Antivirus,Employee,UK,3,Manufacturing,41,Reset Credentials
Ransomware,IoT Device,Success,2023-09-30 00:19:31.084251,220.120.213.7,30.242.166.97,58.74,79,IDS,External User,USA,10,Retail,28,Containment
SQL Injection,Web Server,Success,2024-02-23 16:50:23.084254,221.143.254.52,114.234.114.249,20.18,156,SIEM,Contractor,Brazil,5,Manufacturing,91,Containment
Zero-Day Exploit,Database,Failure,2023-11-03 23:42:05.084257,221.248.202.232,193.112.161.164,68.39,109,WAF,Contractor,Canada,6,Government,17,Patch
SQL Injection,Web Server,Failure,2024-06-27 09:12:56.084260,113.227.133.104,151.154.95.44,15.34,259,Endpoint Detection,Contractor,Brazil,6,Retail,70,Containment
Brute Force,Email Server,Success,2024-03-01 21:37:53.084263,48.82.153.155,2.66.34.85,47.35,188,VPN,Admin,UK,7,Healthcare,4,Block IP
Brute Force,Database,Failure,2023-12-01 03:28:55.084266,254.183.112.243,80.82.23.18,29.53,94,Antivirus,Admin,India,6,Energy,86,Reset Credentials
Cross-Site Scripting,API,Failure,2024-01-03 14:25:30.084269,166.119.243.110,194.195.233.92,50.13,128,VPN,External User,China,9,Energy,115,Reset Credentials
Phishing,Email Server,Success,2024-04-16 02:54:13.084273,58.219.62.67,122.116.20.77,4.7,38,WAF,External User,Canada,2,Education,99,Quarantine
Ransomware,Database,Failure,2024-07-29 08:37:37.084276,110.171.185.101,9.245.131.255,29.97,17,MFA,Admin,UK,3,Technology,180,Containment
Brute Force,Database,Success,2024-01-11 18:49:47.084279,189.100.245.150,184.255.46.95,12.48,64,SIEM,External User,Germany,2,Manufacturing,163,Quarantine
Malware,Database,Success,2024-08-02 12:41:43.084283,139.125.169.217,133.12.27.136,42.32,185,IDS,Admin,India,5,Manufacturing,116,Quarantine
Cross-Site Scripting,Cloud Service,Success,2024-06-24 03:10:29.084286,193.235.218.54,35.147.200.145,86.06,198,Firewall,Employee,Germany,1,Finance,116,Block IP
Brute Force,IoT Device,Failure,2023-09-14 08:08:29.084289,228.5.54.53,250.161.176.143,67.3,174,SIEM,External User,China,6,Manufacturing,143,Block IP
SQL Injection,Web Server,Success,2024-04-04 11:22:38.084292,170.4.104.104,114.237.237.124,42.67,266,Antivirus,Employee,France,10,Manufacturing,70,Patch
Ransomware,API,Failure,2024-01-22 17:14:01.084295,154.69.110.7,135.22.175.183,86.58,259,VPN,External User,Russia,5,Government,119,Block IP
Ransomware,Database,Failure,2023-09-18 04:37:03.084298,179.94.170.41,246.133.22.94,64.06,64,Antivirus,Employee,Australia,1,Energy,100,Quarantine
Brute Force,API,Failure,2024-07-14 03:22:46.084301,105.228.201.238,68.175.169.80,38.64,75,IDS,Employee,India,8,Healthcare,62,Block IP
Ransomware,Database,Failure,2023-09-25 18:20:10.084304,246.134.10.243,231.141.45.226,64.2,63,WAF,Contractor,Australia,1,Healthcare,55,Block IP
Phishing,Web Server,Success,2024-06-05 10:49:00.084307,86.68.44.42,150.224.9.142,7.61,195,SIEM,Employee,France,3,Energy,60,Containment
Ransomware,IoT Device,Success,2024-08-16 15:12:35.084310,221.126.117.38,154.196.125.68,64.39,242,IDS,Admin,Canada,7,Retail,27,Containment
Ransomware,API,Failure,2023-10-20 22:17:51.084313,153.53.62.54,99.207.157.180,17.28,141,MFA,Employee,USA,9,Retail,71,Patch
SQL Injection,Web Server,Failure,2023-10-27 10:42:14.084316,168.250.251.93,153.213.242.8,19.11,258,Firewall,External User,France,6,Education,101,Containment
Phishing,API,Failure,2024-05-15 18:02:29.084319,53.85.4.40,54.244.99.136,23.56,122,SIEM,Admin,USA,5,Technology,4,Reset Credentials
DDoS,IoT Device,Failure,2024-07-28 18:49:05.084322,147.135.122.200,234.107.98.50,66.53,178,VPN,Admin,France,8,Retail,158,Quarantine
Cross-Site Scripting,API,Failure,2023-09-24 14:33:47.084325,187.85.236.12,210.33.241.23,57.76,75,IDS,External User,Australia,7,Government,30,Patch
Phishing,Network Switch,Failure,2024-08-23 11:13:48.084327,134.100.191.247,4.129.186.203,65.27,39,Firewall,Contractor,India,3,Manufacturing,123,Patch
Ransomware,User Account,Success,2024-07-16 17:21:54.084330,193.191.157.71,94.113.88.190,93.09,42,VPN,Employee,India,6,Healthcare,173,Quarantine
DDoS,API,Success,2023-12-21 05:57:57.084333,123.212.190.238,192.205.116.127,94.33,161,Antivirus,External User,Russia,6,Finance,51,Block IP
DDoS,API,Success,2024-03-12 14:01:23.084336,76.242.126.174,230.162.10.76,76.62,72,SIEM,Admin,China,1,Finance,145,Patch
Cross-Site Scripting,Network Switch,Success,2024-02-19 17:33:44.084339,88.92.131.15,109.81.26.243,6.8,267,IDS,External User,USA,9,Government,64,Containment
Brute Force,Web Server,Success,2023-11-30 21:31:22.084342,111.200.57.164,110.229.234.228,89.27,68,Antivirus,Admin,India,6,Government,32,Block IP
Zero-Day Exploit,Network Switch,Failure,2024-04-06 00:29:05.084345,5.252.196.175,73.199.20.203,97.44,213,SIEM,External User,Australia,9,Healthcare,70,Quarantine
SQL Injection,Cloud Service,Success,2024-03-18 08:10:48.084348,8.231.226.42,247.143.42.133,29.47,15,VPN,Admin,Germany,4,Healthcare,150,Patch
Malware,Cloud Service,Failure,2024-07-30 00:59:12.084351,62.68.206.251,212.160.143.29,45.13,233,SIEM,External User,UK,8,Technology,14,Quarantine
Zero-Day Exploit,Network Switch,Success,2024-08-18 23:48:55.084355,61.235.152.245,204.42.147.172,16.87,170,Firewall,Employee,UK,6,Finance,89,Patch
